"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Austria","AUT","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","5.29629888756733","4.70695970695971","4.17919898686085","3.23130079322594","2.73930304367005","2.28220665774769","1.55856694596738","1.48539778449144","1.54475762291775","1.41975631438582","1.34064441482003","1.38396705296428","1.38739961047771","1.37780391497942","1.39109458237009","1.47186985571802","1.56174268942862","1.57489760594999","1.483296993618","1.48876445776935","1.41313050440352","1.31585690856909","1.24625817093286","0.0139337462131515","-0.130420662906983","-0.0235715509127633","0.000263838925189046","0.00752571450827928","-0.00535023852703572","-0.0057837237891591","-0.00149623146543272","-0.00126363916219946","0.00369640101552769","0.00129344167584052","6.9094318581466E-05","-0.00622428976262785","-0.0159813810716182","6.29016911827319E-05","7.72100965481373E-05","5.88590309287286E-05","4.94363304909091E-05","0","0","0","0","0","0","0","","",
"Azerbaiyán","AZE","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.844687557327","33.4469820257311","21.0325535376408","8.18757126781461","8.9086179424656","8.37235501625361","","","","","","","","","2.21139657577166","2.79582892549494","1.45708683191714","1.81140611877118","2.57045415337795","2.84488002416106","2.88475015396377","3.0698194445191","3.38524388163258","3.63130076687365","3.35962806710742","3.70525688493563","","",
"Burundi","BDI","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","23.3312142403051","21.9865676917639","20.0558561703613","26.1885002963841","41.0956114448631","42.8805834092981","38.9543741480234","31.6970356268697","17.4888170974155","","","","","","","","","","16.2249942002605","15.997277059224","14.0102494242808","21.1193084432521","19.6244859958104","15.21726706418","12.8137407827567","24.5351341906143","17.4185372635628","","","","","","","","","","","","","","","","","","","","","","",
"Bélgica","BEL","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Benin","BEN","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","34.3683032525358","39.3824191170766","41.2211846438399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7148917643852","10.3002518395007","13.5412666385444","12.5728810064077","13.6787552155428","12.8757709321541","12.9721217740086","11.6301719014554","10.9926877587282","10.6920719189527","11.6436445691094","11.6968986494454","10.8798519834932","11.1841544099697","11.2796880538816","12.624479343839","11.588071960972","10.217721956045","","",
"Bangladesh","BGD","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.0618016199126","29.9306965036538","25.1306239493369","32.5584338294894","32.388647432923","30.9152052616097","27.0926738359197","26.5476334511639","24.3464619816995","24.2953521742327","24.5558809408626","23.4235997424692","20.565611702415","20.4469220851395","23.7259192945484","24.5465916197623","","","","","",
"Bulgaria","BGR","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.77861094600155","3.04148944707487","6.10845539559322","9.13412359347734","7.88477117229667","","","","","","","","","","","2.36991236239466","2.62773177562327","0.0107370789806721","0.00951949095965298","0.0113544608822403","0.0141477624639437","0.0119552059530362","0.0639060577837765","0.0416311457619342","0.0534149165346097","0.050174996794284","0.0448464247524311","0.0417940775444474","0.0414163895435192","0.0306717776155071","","",
"Bahrein","BHR","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","6.29787234042553","8.6046511627907","8.35565077664703","8.19286554292434","8.32420591456736","8.05126519881696","5.6540273726722","4.95713753261275","5.90039696860339","9.94903160040775","9.38814531548757","7.72072404876247","8.09047411918225","7.41545893719807","8.54830551340415","8.32577132486388","7.35502121640735","7.98186834844304","9.699263095001","8.87626486774365","9.91043613707165","8.45771144278607","7.49211356466877","8.16176470588235","11.4419779823137","8.52387843704776","5.13648100331981","5.69356120826709","4.58223652140002","4.35010482180294","4.27139437462597","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.6598434677905","62.2172406765845","58.0542563143124","59.7365945437441","59.8883965205974","56.9135241556868","57.401195858247","58.5808064161723","57.268511514402","56.6979527095002","56.1056211259325","57.4551386623165","57.0849819292854","58.706025968261","51.2075115700668","54.95756118711","58.5770637394288","44.7714947332496","43.3118593862427","50.5005803389666","36.8765521729824","36.544985743395","34.7835930407146","39.952723605344","35.2333624667927","28.2604840100903","20.6895079334018","20.8291435646861","21.1534054854403","18.3374253433146","","",
