"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Austria","AUT","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","20.4575666410131","19.8717948717949","21.5555907339982","20.5168134702419","19.7220996912219","19.9496340599669","21.4371918209717","20.962361530715","20.8801660038042","20.7812581707891","20.27315944362","20.0100565079974","20.1785675208438","19.3039569856339","19.4130063322947","18.2608695652174","19.4284380777999","17.8311312186177","18.8292776088998","19.4832679335126","19.9519615692554","20.5091738417384","19.1642739324333","25.5216952741987","27.2177139605018","28.4473601649604","28.7474074957786","27.7906922755142","27.7127145280781","30.119058548418","28.3219783802428","28.2168389249852","27.8828792998736","26.8957543495569","27.1466827472177","28.1433699328614","29.0302638886835","26.0059887127633","26.4445584408625","26.6606395018996","26.9932887356425","27.3637576864748","27.9240564991328","28.7077989931565","26.4255771633301","27.0209535535455","27.5015833197486","27.640727644062","","",
"Azerbaiyán","AZE","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5043360072044","30.7811242836201","19.505194387919","19.9790926928087","20.5365596953762","21.4608901558856","","","","","","","","","17.6790442885731","13.1926030747249","10.1890492231887","12.0771662382936","13.5923103123383","13.8126411699399","13.9837329312578","17.293334121707","14.8286288411594","13.4814928906111","11.0723726769003","9.65104922501366","","",
"Burundi","BDI","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","10.4683195592287","10.1802757158006","11.7297957758771","10.36158861885","11.3023113735872","14.0838650865998","14.6259321626173","15.0938264889856","16.3146123260437","","","","","","","","","","14.4279672359334","13.9036012552093","14.9070740488469","13.0579774945972","14.0259135697106","18.501514487646","18.2962280204197","17.1208009362012","18.1549900559663","","","","","","","","","","","","","","","","","","","","","","",
"Bélgica","BEL","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7285682583042","35.2186523625897","35.7530085376213","36.8441553109915","35.80434383367","36.8304201378835","36.8334312628282","37.2159406270318","36.6478286734087","36.8776014940468","37.1512384674383","36.9073590378104","36.5602029570355","36.908003614047","34.0946041389401","34.7110398831777","35.2762825597903","35.3661463559419","36.1066659080187","36.4475478640231","34.6807838104686","32.3570976574458","33.7303579402707","34.0051694037969","32.4506508823318","","",
"Benin","BEN","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","10.5171674841659","14.5498745700468","9.56602156358551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7063637447552","15.4494047594979","15.5585914491444","15.9956593780684","15.1052404619407","14.9429992830345","16.404312549808","13.8280819402186","15.1758823656386","19.19468342102","20.0600951179572","19.2278878769171","19.877850956113","18.3486425186301","20.2623183268345","20.4534516974507","21.7737269767287","23.5350582204151","","",
"Bangladesh","BGD","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.469071775621","11.7695175774881","11.3057725814721","12.326110248447","12.3416270497985","14.5876470776082","17.2371990746852","18.7442106788619","19.2624130750273","20.0583157571158","22.3422918653967","23.2342636383341","24.4541788287236","24.9060827883044","26.855357583724","25.1708657196462","","","","","",
"Bulgaria","BGR","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0475972749303","37.8661423641762","21.0374479115856","12.6491766452053","14.4475243272788","","","","","","","","","","","12.8578344824811","13.7159110560133","19.6006709255934","15.8041660733492","15.8697725432464","15.5571053721922","15.343247388544","14.4964300700258","14.9547204124463","15.6163465521339","15.2719194218448","16.6410083375555","16.8618632018085","16.1053862512565","14.7185950832366","","",
"Bahrein","BHR","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","40.6808510638298","37.4418604651163","15.2651312265667","11.6032928263426","10.5147864184009","10.0887282287217","1.79492932465784","2.53447633246366","2.18332731865752","2.81345565749235","3.55640535372849","3.73106760251201","4.15397999130056","4.61352657004831","3.84420839656045","3.78856624319419","5.01111335623358","5.04532912889239","4.52101175064728","4.43813243387183","5.62694704049844","4.14001421464108","4.9211356466877","4.69117647058824","6.20826565601877","4.63096960926194","3.14459609000369","4.41176470588235","3.97777127815151","3.57267645003494","4.09186116098145","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Bosnia y Herzegovina","BIH","Impuestos sobre la renta, las utilidades y las ganancias de capital (% de la recaudación)","GC.TAX.YPKG.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.00257807877148","2.1942387814766","3.30388729994729","2.65994183423368","5.27113331597381","6.3967080283014","6.6165894725502","6.71772519549421","6.86176820483562","6.48601356139308","6.79875799309685","7.47328100967763","8.22683714661225","8.43884633093129","8.23351424685673","","",
